window,layer,comparison,extreme_contrast,feature,feature_kind,level,feature_role,n_group_rows,n_reference_rows,group_n,reference_n,group_median,reference_median,group_share_pct,reference_share_pct,auc,effect,effect_unit,profile_allowed,broad_pooled_effect,broad_pooled_grade,same_sign_as_broad
P2-1,FILLED,WIN_50_vs_REST,False,close_vs_wma200_pct,numeric,,ENTRY,17,182,16,168,0.0942,0.1182,,,0.433,-0.067,AUC-0.5,True,-0.0252,WEAK,True
P2-1,FILLED,WIN_50_vs_REST,False,post_breakout_min_low_vs_level_pct_26w,numeric,,ENTRY,17,182,10,69,-0.0827,-0.0337,,,0.3406,-0.1594,AUC-0.5,True,0.004,WEAK,False
P2-1,FILLED,WIN_50_vs_REST,False,market,categorical,KOSDAQ,ENTRY,17,182,17,182,,,5.8824,16.4835,,-10.6012,share_pp,True,-1.3502,WEAK,True
P2-1,FILLED,WIN_50_vs_REST,False,entry_pattern_a_stage,categorical,EARLY_TREND,ENTRY,17,182,17,182,,,17.6471,19.2308,,-1.5837,share_pp,True,-1.3054,WEAK,True
P2-1,FILLED,WIN_50_vs_REST,False,fast_score_state,categorical,PARTIAL,ENTRY,17,182,17,182,,,5.8824,4.3956,,1.4867,share_pp,True,-1.5064,WEAK,False
P2-1,FILLED,WIN_50_vs_REST,False,is_normal_handoff,numeric,,POST_ENTRY_LIFECYCLE,17,182,17,182,1.0,0.0,,,0.6705,0.1705,AUC-0.5,True,,,
P2-1,FILLED,WIN_50_vs_REST,False,is_coverage_path,numeric,,POST_ENTRY_LIFECYCLE,17,182,17,182,0.0,0.0,,,0.5058,0.0058,AUC-0.5,True,,,
P2-1,FILLED,WIN_100_vs_REST,False,pattern_a_score,numeric,,ENTRY,8,191,8,184,76.8989,61.7587,,,0.644,0.144,AUC-0.5,False,0.012,WEAK,
P2-1,FILLED,WIN_100_vs_REST,False,fast_score,numeric,,ENTRY,8,191,8,191,77.53,76.3,,,0.463,-0.037,AUC-0.5,False,0.0015,WEAK,
P2-1,FILLED,WIN_100_vs_REST,False,market_cap_eok,numeric,,ENTRY,8,191,8,191,36465.0274,28994.058,,,0.5668,0.0668,AUC-0.5,False,-0.0595,MIXED,
P2-1,FILLED,WIN_100_vs_REST,False,avg_trading_value_20d_eok,numeric,,ENTRY,8,191,8,184,303.725,238.91,,,0.5679,0.0679,AUC-0.5,False,-0.0597,MIXED,
P2-1,FILLED,WIN_100_vs_REST,False,wma52_slope_1w,numeric,,ENTRY,8,191,8,184,0.0023,0.0028,,,0.4939,-0.0061,AUC-0.5,False,-0.0428,WEAK,
P2-1,FILLED,WIN_100_vs_REST,False,atr_14_pct,numeric,,ENTRY,8,191,8,184,0.0366,0.0364,,,0.4715,-0.0285,AUC-0.5,False,-0.0409,WEAK,
P2-1,FILLED,WIN_100_vs_REST,False,range_position_24m,numeric,,ENTRY,8,191,8,184,0.7002,0.5769,,,0.6209,0.1209,AUC-0.5,False,-0.0115,WEAK,
P2-1,FILLED,WIN_100_vs_REST,False,wma12_vs_wma26_pct,numeric,,ENTRY,8,191,8,184,0.0434,0.04,,,0.4803,-0.0197,AUC-0.5,False,-0.0341,WEAK,
P2-1,FILLED,WIN_100_vs_REST,False,close_vs_wma200_pct,numeric,,ENTRY,8,191,7,177,0.1798,0.117,,,0.5617,0.0617,AUC-0.5,False,-0.03,WEAK,
P2-1,FILLED,WIN_100_vs_REST,False,post_breakout_min_low_vs_level_pct_26w,numeric,,ENTRY,8,191,3,76,-0.116,-0.0382,,,0.3026,-0.1974,AUC-0.5,False,0.0085,WEAK,
